WorkerID,taskID,startTime,endTime,TaskCompletionTime
1,13_R4,1607063606.5809467,1607063609.5925958,3.0116491317749023
2,13_R2,1607063606.5786173,1607063609.5943334,3.015716075897217
3,13_R0,1607063606.5776725,1607063609.6370437,3.05937123298645
3,13_R3,1607063606.5806744,1607063609.6375055,3.056831121444702
2,15_M0,1607063608.4549284,1607063611.469526,3.0145976543426514
1,15_M1,1607063608.4553492,1607063611.4756682,3.0203189849853516
3,14_R0,1607063608.4720361,1607063611.4761474,3.0041112899780273
1,15_M3,1607063608.4596565,1607063611.4780073,3.018350839614868
2,15_M2,1607063608.459109,1607063611.478371,3.0192618370056152
2,15_M4,1607063608.4600685,1607063611.479368,3.0192995071411133
1,14_R1,1607063608.4732969,1607063611.4814098,3.008112907409668
2,14_R2,1607063608.4742274,1607063611.4826803,3.008452892303467
2,14_R3,1607063608.4746957,1607063612.5712872,4.096591472625732
2,14_R4,1607063609.531419,1607063612.666253,3.134834051132202
3,16_M0,1607063611.462682,1607063614.469773,3.0070910453796387
3,16_M3,1607063611.4638379,1607063614.4784555,3.014617681503296
1,16_M1,1607063611.463084,1607063614.4795098,3.016425848007202
2,16_M2,1607063611.4635599,1607063614.4806843,3.0171244144439697
1,16_M4,1607063611.464059,1607063614.4842935,3.0202343463897705
2,15_R0,1607063611.4806123,1607063614.4913788,3.0107665061950684
1,15_R2,1607063611.4853432,1607063614.4917352,3.006392002105713
3,15_R1,1607063611.4817889,1607063614.491999,3.0102100372314453
1,15_R4,1607063611.4866588,1607063614.4948716,3.0082128047943115
2,15_R3,1607063611.4863994,1607063614.4967167,3.010317325592041
2,17_M0,1607063614.4602966,1607063617.4627569,3.002460241317749
2,17_M2,1607063614.460682,1607063617.4656255,3.004943609237671
1,17_M1,1607063614.460522,1607063617.4746912,3.014169216156006
2,17_M3,1607063614.4608011,1607063617.4799008,3.019099712371826
3,16_R0,1607063614.4857998,1607063617.4896448,3.003844976425171
1,16_R1,1607063614.4868183,1607063617.4911857,3.0043673515319824
2,16_R2,1607063614.4890826,1607063617.493893,3.004810333251953
3,16_R3,1607063614.4900532,1607063617.494264,3.0042107105255127
1,16_R4,1607063614.4910505,1607063617.5004263,3.009375810623169
2,17_M4,1607063614.4609187,1607063618.5785463,4.1176276206970215
3,18_M1,1607063617.4683814,1607063620.486073,3.0176916122436523
2,18_M0,1607063617.4677372,1607063620.4865198,3.018782615661621
2,18_M3,1607063617.4696262,1607063620.4869108,3.017284631729126
1,18_M2,1607063617.4690425,1607063620.4872046,3.0181620121002197
1,18_M4,1607063617.4700572,1607063620.4874375,3.0173802375793457
2,17_R0,1607063618.58581,1607063621.5943365,3.008526563644409
3,17_R1,1607063618.5897677,1607063621.6011925,3.0114247798919678
1,17_R2,1607063618.5937963,1607063621.601857,3.0080606937408447
3,17_R4,1607063618.5975385,1607063621.602446,3.0049076080322266
2,17_R3,1607063618.5962749,1607063621.619051,3.0227761268615723
1,19_M0,1607063620.475993,1607063623.508036,3.032042980194092
2,19_M1,1607063620.4761982,1607063623.5209558,3.044757604598999
3,18_R0,1607063620.5010717,1607063623.5304024,3.0293307304382324
1,19_M2,1607063620.4764729,1607063623.5632057,3.086732864379883
1,18_R1,1607063620.5017333,1607063623.611836,3.110102653503418
2,19_M3,1607063620.476608,1607063623.673231,3.196622848510742
2,18_R2,1607063620.502215,1607063623.7053123,3.203097343444824
1,18_R3,1607063620.5025783,1607063624.5310814,4.028503179550171
2,18_R4,1607063621.5209181,1607063624.593073,3.0721547603607178
2,19_M4,1607063620.4767754,1607063624.6240175,4.147242069244385
1,19_R1,1607063624.6279979,1607063627.6329498,3.0049519538879395
3,19_R0,1607063624.6262164,1607063627.6449158,3.0186994075775146
1,19_R4,1607063624.6338153,1607063627.645418,3.0116026401519775
3,19_R3,1607063624.6333952,1607063627.6458766,3.012481451034546
2,19_R2,1607063624.6288128,1607063627.647472,3.0186591148376465
